Var1,Freq
傳播理論,39
攝影,25
文化研究,24
視覺傳達設計,19
電腦繪圖,18
影像處理,18
導演,18
政治傳播,17
研究方法,17
傳播科技,17
公共關係,16
編劇,15
新聞採訪,13
數位學習,13
媒體識讀,12
視覺傳播,12
資訊素養,12
廣告,12
行銷管理,11
紀錄片製作,11
消費者行為,11
傳播研究方法,11
大眾傳播,10
新聞專業技能,10
新聞學,10
資訊管理,10
電子商務,10
網頁設計,10
影視製作,10
程式設計,9
新聞,9
新聞採訪寫作,9
電影史,9
電影理論,9
電影製作,9
網路傳播,9
劇本寫作,9
剪輯,8
傳播政策,8
傳播科技與社會變遷,8
電信傳播,8
管理學,8
數位行銷,8
數位影像處理,8
整合行銷傳播,8
顧客行為,8
文化間傳播,7
行銷,7
健康傳播,7
國際傳播,7
媒介批評,7
媒體素養,7
新聞寫作,7
電視,7
電視製作,7
廣告企劃,7
廣告學,7
人力資源管理,6
大眾傳播學,6
多媒體設計,6
多媒體應用,6
色彩管理,6
色彩學,6
社會行銷,6
社會學,6
科學傳播,6
報導攝影,6
媒體實務,6
新聞編採,6
新聞攝影,6
電視新聞製作,6
電影美學,6
3D動畫,5
3D電腦動畫,5
文化創意產業,5
平面設計,5
多媒體系統,5
性別研究,5
美術創作,5
國際關係,5
媒體分析,5
媒體行銷,5
媒體管理,5
傳播管理,5
新媒體,5
新媒體研究,5
新聞英文,5
新聞倫理,5
資料探勘,5
電視節目製作,5
電腦動畫,5
網路行銷,5
廣播,5
數位出版,5
數位典藏,5
閱聽人研究,5
包裝設計,4
民意調查,4
印刷,4
多媒體,4
表演,4
非線性剪輯,4
品牌行銷,4
政治學,4
紀錄片,4
動畫,4
採訪寫作,4
符號學,4
組織傳播,4
統計學,4
設計,4
媒體公關,4
媒體經營管理,4
傳播史,4
傳播政治經濟學,4
新傳播科技,4
新聞採訪與寫作,4
新聞理論,4
新聞傳播,4
節目企劃,4
節目製作,4
經濟學,4
資訊安全,4
電視攝影,4
電腦排版,4
電腦視覺,4
電腦繪圖與動畫,4
電影,4
電影電視製作,4
圖形識別,4
廣告研究,4
廣播電視節目製作,4
影像剪輯,4
數位內容,4
數位攝影,4
藝術創作,4
攝影學,4
人工智慧,3
人像攝影,3
人際傳播,3
人際溝通,3
工業設計,3
公共政策,3
公共新聞學,3
公關,3
公關企劃,3
心理學,3
印刷媒介,3
印刷媒介—經營與管理,3
危機溝通,3
向量繪圖,3
多媒體教育系統,3
行銷策略,3
行銷學,3
言說分析,3
社群媒體,3
表演藝術,3
政治經濟學,3
活動企劃,3
流行文化研究,3
科技管理,3
美學,3
英語教學,3
計算機圖學,3
音樂製作,3
修辭學,3
消費行為,3
剪接,3
動畫設計,3
商業攝影,3
專業攝影,3
媒介研究,3
策略行銷,3
策略管理,3
虛擬實境,3
視覺設計,3
視覺藝術,3
進階攝影,3
傳播法規,3
傳播政策與法規,3
傳播藝術,3
微電影製作,3
新聞採寫,3
新聞編輯,3
資料庫管理,3
資訊傳播,3
資訊檢索,3
遊戲設計,3
電子媒介經營管理,3
電視新聞,3
電腦中介傳播,3
電腦影像處理,3
電影美術,3
電影剪輯,3
電影評論,3
電影編劇,3
圖書館管理,3
管理,3
管理資訊系統,3
網路文化,3
網路安全,3
網路社群研究,3
製作,3
劇本創作,3
廣播節目企劃,3
廣播節目製作,3
廣播製作,3
影片製作,3
影視攝影,3
播音訓練,3
數位內容產業,3
數位媒體設計,3
學習科技,3
導播導演學,3
戲劇理論,3
類型電影,3
3D,2
3D動畫製作,2
人機介面,2
口傳技能,2
口語表達,2
口語傳播,2
中外新聞史,2
中國大陸媒體研究,2
互動多媒體設計,2
互動設計,2
互動媒體設計,2
公民新聞,2
文化創意,2
文化與創意,2
文本分析,2
主持,2
出版學,2
台灣電影史,2
市場調查,2
平面新聞寫作,2
民意,2
生死學,2
生物資訊,2
田徑,2
企業公關,2
企業形象,2
企劃,2
印刷材料學,2
印刷傳播,2
印刷管理,2
印前製程,2
印後加工,2
危機管理,2
多媒體設計應用,2
多媒體資料庫,2
色彩計畫,2
行銷企劃,2
行銷傳播,2
行銷與廣告,2
作業系統,2
投資學,2
決策科學,2
系統分析,2
系統分析與設計,2
防偽印刷,2
使用者行為,2
服務行銷,2
知識管理,2
社區傳播,2
社會網絡分析,2
社會學理論,2
社群媒體研究,2
非線性剪接,2
品牌管理,2
室內設計,2
後製合成,2
流行音樂製作,2
紀實攝影,2
紀錄片研究,2
紀錄片導演,2
美學與設計,2
英語,2
計算機結構,2
音樂理論—作曲,2
音韻學,2
配音,2
商管類,2
國語正音,2
國際行銷,2
基礎攝影,2
密碼學,2
專案企劃,2
專案管理,2
情緒管理,2
教育科技,2
族群傳播,2
現代小說,2
產品行銷公關,2
畢業製作,2
組織行為,2
組織管理,2
統計,2
統計分析,2
設計思考,2
設計教育,2
設計概論,2
設計管理,2
設計繪畫,2
軟體工程,2
速讀速記,2
造形設計,2
創新管理,2
媒介史,2
媒介生態學,2
媒介批判,2
媒介社會學,2
媒介效果研究,2
媒介策略,2
媒介經營管理,2
媒介寫作,2
媒介藝術,2
媒體批判,2
媒體批評,2
媒體教育,2
媒體產業研究,2
媒體經濟學,2
媒體寫作,2
智慧財產權法,2
游泳,2
虛擬攝影棚實務,2
視覺文化,2
雲端運算,2
傳播,2
傳播心理學,2
傳播法規與政策,2
傳播研究方法—行為科學質的研究法,2
傳播科技與社會,2
傳播哲學,2
傳播寫作,2
傳播學,2
感覺與知覺心理學,2
新媒體藝術,2
新聞史,2
新聞研究,2
新聞原理與編輯,2
會計學,2
當代傳播問題,2
節目製播,2
經營管理,2
經營模式創新,2
資料庫,2
資料庫系統,2
資料庫系統與資料安全,2
資料結構,2
資訊服務,2
資訊社會,2
資訊教育,2
資訊傳播理論,2
資訊傳播學,2
跨文化傳播,2
跨媒體整合行銷,2
遊戲式學習,2
遊戲產業,2
電子計算機概論,2
電子媒介,2
電訊傳播,2
電視企劃與寫作,2
電視新聞採訪,2
電視節目企劃,2
電視節目企劃與製作,2
電視經營管理,2
電視製作專業技能,2
電視編劇,2
電腦輔助教學,2
電影研究,2
電影原理,2
電影編導,2
電影導演,2
電影攝影,2
實驗與認知心理學,2
演算法,2
網頁程式設計,2
網路新聞學,2
網路管理,2
與傳播相關法律議題,2
製片,2
語藝批評,2
遠距教學,2
劇本分析,2
劇情片製作,2
廣告文案,2
廣告研究方法,2
廣告設計,2
廣電製作,2
廣播節目企劃與製作,2
影音剪輯,2
影視化妝,2
影視拍攝實務,2
影視美學,2
影視節目製作,2
影視製片,2
影視劇本寫作,2
影視編劇,2
影像分析,2
影像美學,2
影像創作,2
影像製作分析,2
數位內容產製,2
數位內容製作,2
數位系統,2
數位美學研究,2
數位音樂製作,2
數位剪輯,2
數位媒體,2
數位媒體匯流,2
數位影音製作,2
數位影像,2
數位編輯,2
衛星與有線電視,2
衝突管理與溝通,2
銷售促銷,2
閱聽人分析,2
導播,2
導播學,2
燈光設計,2
應用統計,2
戲劇,2
簡報技巧,2
簡報美學,2
繪畫,2
藝術行政,2
藝術行銷,2
2D動畫,1
2D動畫合成,1
2D動畫設計與製作,1
2D動畫製作,1
2D電腦繪圖,1
3D VR 虛擬實境與圖學,1
3D 動畫,1
3D互動引擎,1
3D建模動畫,1
3D動畫設計,1
3D數位典藏,1
3D數位動畫,1
3D模型建構,1
3D模組,1
3D雕塑Zbrush,1
Android 行動裝置程式,1
APP媒體應用企劃,1
AR,1
CRM,1
E-Business,1
eCRM,1
ENG實務,1
ERP實務,1
LINUX 作業系統,1
MIDI電腦編曲,1
multimedia design,1
NGO及公益行銷,1
O2O應用實務,1
RFID,1
SNG傳輸工程,1
TQC Office,1
UNIX系統等,1
UV印刷,1
VR,1
Web Based系統,1
Web 網頁製作,1
Web技術,1
Web技術與應用,1
WEB程式設計,1
Web整合應用系統,1
人力資源,1
人工智慧技術,1
人工智慧應用,1
人文社會研究,1
人文與生態紀錄片,1
人文藝術,1
人生哲學,1
人因工程學,1
人因介面設計,1
人事管理,1
人像漫畫,1
人際溝通與應用,1
人際衝突,1
人際勸服,1
人機互動,1
人機互動設計,1
八卦文化議題探究,1
三維模塑,1
口述影像,1
口筆譯教學,1
口語技術與媒介生態,1
口頭傳播,1
大型數位音響工程,1
大眾文化,1
大眾媒體,1
大眾媒體寫作,1
大眾傳播理論,1
大眾傳播與法規,1
大眾傳播與宣導策略,1
大陸問題,1
大數據分析,1
大數據分析與應用,1
大數據與傳播效益,1
女性主義,1
小品歌曲創作,1
小眾文化研究,1
工作者研究,1
工業工程與管理,1
工業教育—行政與管理,1
工業教育—課程與教學,1
工業電腦,1
中介人際傳播,1
中介與調節模式,1
中西戲劇史,1
中國上古藝術史,1
中國大陸流行文化,1
中國大陸傳媒研究,1
中國大陸傳播研究,1
中國大陸傳播問題研究,1
中國文化史,1
中國文學,1
中國文學﹑教育媒體,1
中國古典文學,1
中國表演學,1
中國政企研究,1
中國研究,1
中國美術史 水墨畫 膠彩畫,1
中國傳媒研究,1
中國傳播研究,1
中國新聞史,1
中國憲法與政府,1
中華傳播理論,1
互動多媒體,1
互動式多媒體,1
互動式媒體,1
互動科技藝術新媒體領域,1
互動娛樂設計研究,1
互動媒體,1
互動媒體腳本設計,1
互動傳播設計,1
互動裝置設計,1
互動網頁設計,1
互動與質化研究,1
互動藝術,1
介面互動設計,1
介面設計,1
內容分析,1
內容設計編排,1
公民紀錄片製作,1
公民教育,1
公民新聞學,1
公共行政,1
公共事務,1
公共新聞學之理論與實踐,1
公共電視研究,1
公共藝術,1
公共關係﹑人際傳播﹑傳播媒介經營管理,1
公共關係及實務,1
公共關係學,1
公關行銷,1
公關行銷活動策劃執行,1
公關活動,1
公關策略,1
公關實務﹑行銷管理﹑廣告策略與媒體計劃﹑組織傳播,1
公關與經紀,1
六個標準差等,1
分區曝光顯影系統,1
分散式系統,1
分散式系統管理,1
分散式資料庫,1
分算式系統,1
分鏡腳本,1
分類與編目,1
太魯閣族語,1
心理傳播,1
心靈哲學,1
手感繪圖促銷小物,1
文化人類學,1
文化人類學研究,1
文化內容產製研究,1
文化全球化與傳播,1
文化批判,1
文化社會學,1
文化活動公關,1
文化消費議題,1
文化產業分析,1
文化產業和身體經驗,1
文化產業與創意產業,1
文化創意行銷,1
文化創意商品設計,1
文化創意開發,1
文化間傳播比較,1
文化傳播,1
文化運動全球化,1
文化與消費,1
文化與設計,1
文史調查,1
文字造形,1
文字與影像創作,1
文書,1
文案寫作,1
文創,1
文創商品製作,1
文學,1
文學創作,1
方創造力與文創產業,1
日本文學,1
日本政府與政治,1
日本語學,1
日語,1
比較文化研究,1
比較各國政府研究,1
比較政治,1
比較音樂學,1
水上救生,1
水彩畫,1
世界電影,1
凹版印刷製版,1
出版,1
出版傳播,1
出版經營,1
出版與編輯理論,1
包裝設計構成,1
卡爾拉內形上學人類學,1
古典詩學,1
台語文化,1
台語文辭研究,1
台韓比較研究東北亞區域研究,1
台灣文化史,1
台灣民俗戲劇,1
台灣社會文化史,1
台灣南島語,1
台灣政治發展與地方派系,1
台灣原住民族祭典儀式,1
台灣原住民語計算,1
台灣經濟史,1
台灣與國際社會,1
四軸無人機控制,1
外交政策,1
巨量資料,1
市場行銷,1
布農族語,1
平行與分散式管理,1
平行與分散處理,1
平版印刷作業,1
平版製印,1
平面排版實務,1
平面視覺規畫,1
平面視覺規劃設計,1
平面網頁多媒體設計,1
平面與網站設計,1
平面影像處理,1
民法,1
民意研究,1
民意理論,1
民意與市場調查,1
民意與政治傳播,1
永續發展,1
犯罪學,1
生命故事與寫作,1
生物政治,1
生物醫學訊號量測系統,1
生態保育報導,1
生態紀錄片製作,1
田徑運動訓練與教學,1
立體印刷,1
企畫書,1
企業改造轉型,1
企業組織管理,1
企業創新與商業模式創新,1
企業經營,1
企業電子化與知識管理,1
企業管理,1
企業識別系統,1
企劃文案技巧,1
企劃製作,1
企劃製作撰寫,1
企劃編寫,1
企編實務,1
休閒旅遊攝影與紀錄,1
光電,1
全球化,1
全球化及大眾傳播,1
全球化區域整合,1
全球化與在地化,1
全球化與兩岸關係,1
全球化與國際傳播,1
全球化與跨國傳播,1
全球行銷,1
全媒體整合行銷,1
全媒體購買執行,1
印刷企劃,1
印刷尖端科技,1
印刷色彩品管,1
印刷技術與管理,1
印刷品管,1
印刷品質管理,1
印刷科技與管理,1
印刷媒體與經營,1
印刷實務,1
印刷與出版,1
印刷製程科技,1
印刷標準,1
印刷適性,1
印前作業,1
印前系統,1
印前與印刷,1
印度及英國電影研究,1
危機處理,1
各國政府與政治,1
在地文化研究,1
地方產業文創設計,1
地理資訊系統,1
多元文化理論,1
多元文化與族群傳播,1
多媒體內容產製,1
多媒體安全,1
多媒體串流,1
多媒體技術與應用,1
多媒體動畫,1
多媒體動畫設計,1
多媒體處理,1
多媒體規劃,1
多媒體規劃設計,1
多媒體規劃設計與製作,1
多媒體設計領域,1
多媒體傳播,1
多媒體概論,1
多媒體資訊系統,1
多媒體網站實務,1
多媒體網路,1
多媒體網路系統,1
多媒體網路服務,1
多媒體製作,1
多媒體製作(影像編輯/剪輯),1
多媒體影像編輯製作,1
多媒體應用與設計,1
多評準決策,1
多頻道電視經營與管理,1
多變量分析,1
字型暨版面設計,1
安全暨戰略研究,1
成人學習,1
成音,1
成音與錄音,1
收視率及民意研究,1
有線電視管理,1
有線電視與電信的匯流,1
灰色理論,1
羽球運動參與動機研究,1
老人傳播研究,1
自信的溝通技巧,1
自造者文化,1
自媒體規劃經營,1
色彩心理學,1
色彩度量學,1
色彩原理與計劃,1
色彩理論與應用,1
色彩管理與檢測,1
色彩複製與管理,1
行政助理實務,1
行為科學研究方法,1
行動計算,1
行動通訊,1
行動通訊產業,1
行動裝置設計,1
行動裝置開發/數位新聞內容產製,1
行動網路經濟,1
行動應用系統,1
行銷﹑公關﹑秘書實務﹑會展﹑職場倫理﹑國際禮儀,1
行銷—一般,1
行銷公關,1
行銷企劃撰寫,1
行銷活動企劃,1
行銷活動企劃執行,1
行銷活動設計執行,1
行銷研究,1
行銷個案研究,1
行銷創意實務,1
行銷傳播執行實務,1
行銷傳播策略與創意,1
行銷傳播與電子商務,1
行銷傳播學,1
行銷業務,1
行銷業務企劃,1
行銷溝通,1
行銷管理與企劃實務,1
行銷管理學,1
作曲,1
作詞,1
作業管理,1
完形心理學,1
批判性傳播,1
技術統籌與舞台監督,1
技術與職業教育,1
技職教育,1
決策過程,1
災難傳播,1
災難與傳播,1
系統性創新方法,1
系統音樂學,1
系統管理與安全,1
系統模擬與最佳化,1
肖像攝影,1
言說行動理論,1
言談分析,1
走量研究,1
足球,1
身體表達,1
車輛文化,1
事件策展實務,1
使用者研究,1
使用者經驗,1
使用者與服務設計,1
使用研究,1
供應鏈管理,1
兒童節目規劃與製作,1
兒童圖畫書研究,1
兒童戲劇教育,1
兩岸媒體交流,1
兩岸傳媒與社會,1
兩岸關係,1
兩性關係,1
卑南族語,1
性別及多元文化研究,1
性別傳播,1
性別與媒體,1
性別與傳播科技研究,1
性別與新媒體,1
性別與影像,1
性別影像研究,1
服務品質,1
服務創新,1
服務與學習課程,1
東方元素設計與文化創意產業,1
東亞及東南亞文化,1
武俠小說研究,1
油畫,1
油畫及版畫創作,1
法國現象學,1
法規編審,1
版權交易,1
物件導向程式設計,1
物件導向等,1
直播主持人,1
直播產業,1
知識社會學,1
知識哲學與教育,1
知識組織與管理,1
社交媒體研究,1
社區研究,1
社區教育,1
社區營造,1
社會公益行銷,1
社會心理與傳播—大眾傳播,1
社會心理學,1
社會未來學,1
社會企業與創新溝通,1
社會行政管理,1
社會系統理論,1
社會研究,1
社會研究與統計,1
社會科學研究方法,1
社會紀實攝影,1
社會語言學,1
社會變遷,1
社群行銷,1
社群媒體新聞學,1
社群媒體經營,1
社群與健康資訊學,1
空間物業設計規劃,1
空間美學理論與實務,1
空間藝術規劃,1
肢體表達,1
肢體開發與創作,1
肢體潛能開發,1
表面特效,1
表演指導,1
表演訓練,1
表演學暨理論,1
表演藝術欣賞,1
表演藝術策展,1
青少年網路傳播,1
非營利組織傳播,1
前端互動設計,1
前衛電影史與當代實驗電影發展,1
品牌服務行銷,1
品牌構築與社群互動,1
品牌與消費,1
城市公民媒體素養成人教育與大眾傳播,1
城市記憶部落客,1
城市媒體公關與行銷,1
客戶關係管理,1
客家學,1
客語研究,1
客語能力檢定,1
客語教學,1
客語教學研究,1
客語語音研究,1
宣傳策略研究,1
幽默表達,1
後期特效,1
後期調光,1
後製,1
後製作,1
政治人類學,1
政治思想,1
政治修辭,1
政治傳播學,1
政策分析,1
故事與腳本製作,1
染整,1
柔版製版印刷/包裝設計,1
活動企劃與行銷,1
流行文化分析,1
流行音樂評論及媒體製作,1
流行媒體文化研究,1
流程再造,1
科技文化研究,1
科技政策,1
科技新知導讀,1
科技與新物質主義,1
科技藝術,1
科普節目企劃製作,1
穿戴式科技設計,1
紀實片研究,1
紀實採寫,1
紀錄片美學研究,1
紀錄片實務與研究,1
紀錄片製作與研究,1
