Var1,Freq
architectural design,421
Interior design,254
product design,154
Graphic design,108
Computer drawing,101
Visual communication design,94
Landscape Design,85
Urban design,82
industrial design,76
sketch,69
Package Design,60
Web Design,59
Computer aided design,56
photography,56
Chromatics,52
Architectural planning and design,49
Urban plan,44
Advertising Design,43
Fashion Design,41
building,40
Image processing,40
basic design,39
illustration,38
interior design,37
Computer animation,37
multi-media design,33
Design management,33
Community building,32
visual design,32
painting,32
Design method,31
Model making,31
painting,29
Green building,29
Performance technique,28
Virtual reality,28
Human Factors Engineering,27
Landscape Planning,27
3D animation,26
Interactive design,26
Design Sketch,26
3D computer animation,25
sculpture,25
Architectural theory,24
Exhibition Design,24
Artistic creation,24
Geographic information system,22
Building construction,22
Creative thinking,22
Digital learning,22
Cultural and creative industries,21
Design history,21
Urban theory and urban design,21
landscape design,21
Programming,21
Graphics,21
public art,20
aesthetics,20
Art History,20
Architectural history,19
design,19
design concept,19
Universal design,19
Landscape Architecture,19
Editing design,19
watercolor,18
Design theory,18
Visual communication,18
Institutional design,18
Environmental planning,18
Architectural planning and design,17
Furniture design,17
Human factor design,16
Building regulations,16
Design painting,16
E-commerce,16
Digital design,16
Urban renewal,15
game design,15
Construction management,15
Interface design,14
Multimedia application,14
Architecture and interior design,14
Project management,14
product development,14
Design education,14
Plant design,14
Brand planning,13
Architectural history and architectural theory,13
Construction Equipment,13
Design practice,13
Film production,13
Digital photography,13
Overall shape,13
Color scheme,12
Marketing management,12
brand design,12
Product design,12
Commercial Photography,12
Computer multimedia,12
Digital image processing,12
Artistic theory,12
2D animation,11
Spatial Planning,11
Building plan,11
Building construction and construction,11
art design,11
Thematic design,11
Design,11
Perceptual engineering,11
Jewelry design,11
Three-dimensional cutting,10
Building physics,10
Base planning,10
Design plan,10
Design thinking,10
Design aesthetics,10
Shape design,10
Installation art,10
hairstyle design,10
director,10
Artificial intelligence,9
Wenchuang Design,9
Print design,9
multimedia,9
Service design,9
Clothing painting,9
Building Construction,9
Building practice,9
Architecture and urban design,9
Construction drawing,9
Research methods,9
Jewelry Design,9
Animation design,9
Product planning,9
Business Design,9
Basic design,9
Basic photography,9
Urban plan,9
Illustration design,9
Landscape engineering,9
Computer image processing,9
Digital content,9
Composite media,9
Overall design,9
Art appreciation,9
3D modeling,8
Engineering Management,8
curtural innovation,8
Wenchuang product design,8
Monument restoration,8
Multimedia production,8
Community planning,8
indoor,8
Building materials and properties,8
Beauty,8
Animation,8
Product planning,8
Furniture design,8
creative design,8
visual art,8
New media art,8
Computer-aided architectural design,8
Computer aided drawing,8
Internet marketing,8
Digital collection,8
Digital building,8
Digital media design,8
Environmental visual design,8
Land use and public facilities planning and analysis,7
technological design,7
Chinese literature,7
Interactive multimedia design,7
Wood carving,7
Metalworking,7
Nonlinear editing,7
Interior space design,7
Interior design history,7
Construction engineering,7
Architecture and interior design,7
Architectural planning and design,7
Beauty posture,7
Hairdressing,7
poster design,7
Makeup design,7
Design psychology,7
Design research,7
Forming principle,7
Landscape architecture design,7
Information management,7
Computer graphics,7
screenwriter,7
Environmental psychology,7
3D animation production,6
3D computer drawing,6
CAD/CAM,6
Human machine interface,6
Interactive media,6
culture Research,6
Plane painting,6
Ecological Design,6
Three-dimensional modeling,6
Vehicle design,6
Business management,6
Color scheme,6
Image Design,6
Clothing composition,6
Clothing composition,6
Overall community building,6
Aromatherapy,6
Interior design practice,6
Architecture and urban design,6
Architectural expression,6
Architect practice,6
building structure,6
Animation,6
Product photography,6
Commercial space design,6
basics of design,6
Design graphics,6
Design cognition,6
Urban disaster prevention,6
Urban planning,6
Lighting Design,6
Database system,6
Information security,6
Computer-aided industrial design,6
green design,6
Advertising,6
Landing plan,6
Digital architectural design,6
Digital music,6
Digital editing,6
Composite media creation,6
Environmental control,6
art education,6
Art review,6
Photography,6
3D printing,5
Human-computer interaction design,5
Engineering practice,5
Industrial product design,5
Interactive multimedia,5
Interactive programming,5
Split script,5
Cultural creative design,5
Ink painting,5
Monument preservation,5
Graphic visual design,5
Three-dimensional shape,5
Corporate identity design,5
Printing practice,5
Marketing plan,5
role conception,5
User experience design,5
Version design,5
Performance method,5
Brand marketing,5
Brand management,5
Interior decoration project management,5
Building physical environment,5
Architectural space design,5
Architectural planning and design,5
Building energy saving,5
Building management,5
Architectural drawing,5
Post-effect,5
Science and technology,5
Campus planning,5
Consumer Behavior,5
Participatory design,5
Thematic production,5
Detail design,5
Design method and creative thinking,5
Design methodology,5
Design Strategy,5
Software engineering,5
Shape art,5
Innovative design,5
Landscape planning and design,5
Contemporary art trend,5
Data structure,5
Game planning,5
Game art design,5
Game production,5
Computer vision,5
Algorithm,5
Advertising plan,5
Digital game,5
Digital image design,5
Digital art,5
Digital art creation,5
Lighting Design,5
Environmental planning and design,5
Augmented reality,5
Painting creation,5
Drawing,5
Art appreciation,5
Physical fitness,5
3D visual simulation,4
CIS design,4
human resource Management,4
Human-Computer Interaction,4
Human-machine interface design,4
Body painting,4
civil Engineering,4
Craft creation,4
Chinese art history,4
Interactive interface design,4
Interactive media design,4
Cultural landscape,4
Cultural and creative industry research,4
Cultural assets,4
Cultural asset preservation,4
Wenchuang Commodity Development,4
Wenchuang product design,4
Wood physics,4
Watercolor painting,4
Ink,4
Taiwanese literature,4
Sustainable design,4
Life aesthetics,4
Ecological engineering,4
Corporate identity system,4
Multimedia creation,4
Multimedia integration,4
Word school,4
Marketing,4
Western architectural history,4
Western art history,4
Western art history,4
Residential Design,4
Disaster management,4
System analysis,4
User experience,4
Clothing production,4
Clothing marketing,4
print,4
Knowledge management,4
Community design,4
Space Analysis,4
Floral design,4
Brand Design,4
brand strategy,4
Indoor space plan,4
Interior design planning,4
Interior decoration practice,4
Architectural Planning,4
Building information model,4
Architectural history and theory,4
Nail Art,4
Construction valuation,4
Documentary production,4
art,4
English,4
Introduction to Computer,4
Computer network,4
Risk Management,4
Exhibition planning,4
Exhibition design,4
Exhibition planning,4
calligraphy,4
Financial Management,4
Commercial space,4
Basic sketch,4
Basic shape,4
product analysis,4
Product design and development,4
Statistical Analysis,4
Planning and Design,4
Design performance technique,4
Design project management,4
Design image,4
Design,4
sketch,4
Modeling principle,4
Modeling foundation,4
Gardening,4
Urban regeneration,4
Pottery,4
Ceramic art creation,4
Creative thinking,4
landscape,4
Structural design,4
Visual psychology,4
Visual culture research,4
Visual art creation,4
traditional building,4
Communication theory,4
Contemporary architectural trends,4
modern Art,4
Contemporary art creation,4
Script design,4
database,4
Data exploration,4
Information design,4
Game programming,4
game development,4
Computer graphics design,4
constitute,4
Comic,4
Well-being design,4
Manufacturing process,4
Cognitive psychology,4
Movie clip,4
Video clip,4
Image synthesis,4
Image aesthetics,4
Image creation,4
Digital publishing,4
Digital illustration,4
Digital image,4
Digital image creation,4
Digital drawing,4
mural,4
Sculpture,4
Construction regulations,4
Environmental behavior research,4
Environmental planning and management,4
Environmental design,4
Fabric design,4
Reuse of old buildings,4
Picture book creation,4
Artistic aesthetics,4
Neural network,4
Experience design,4
2D,3
2D computer drawing,3
3D computer aided design,3
MAYA,3
Unity,3
Land development practice,3
Factory internship,3
Process,3
Chinese and Western art history,3
Chinese classical literature,3
Chinese clothing history,3
Chinese architectural history,3
Chinese Philosophy,3
Chinese history,3
Chinese art history,3
Interactive multimedia,3
Public design,3
Cosmetics,3
Cultural goods design,3
Text formation,3
Text design,3
Woodworking,3
Wood structure,3
Soil and water conservation,3
Ink creation,3
Packaging design practice,3
Classical novel,3
Monument maintenance,3
Taiwan history,3
Taiwan Architecture History,3
Taiwan art history,3
Plane photography,3
Playing version,3
Sustainable construction,3
Sustainable development,3
Sustainable environment,3
Lifestyle,3
eco-buildings,3
Dimensional cut,3
Corporate image design,3
Corporate identification,3
Planning,3
print,3
Prepress work,3
GIS application,3
Multimedia interactive design,3
Multimedia system,3
Multimedia programming,3
Multimedia web design,3
Color theory,3
Color application,3
Marketing strategy,3
Western clothing history,3
Composing,3
Portfolio design,3
Materials and construction,3
Materials and processes,3
System integration,3
Fashion design and production,3
Clothing design,3
Oil painting creation,3
Community building,3
Community Involvement,3
Space aesthetics,3
Performance,3
Performance art,3
metalworking,3
Quality management,3
City planning,3
Interior space planning and design,3
Interior design practice,3
Building disaster prevention,3
Architectural aesthetics,3
Building audio,3
Architectural design,3
Architectural design and theory,3
Architectural creation,3
Building structure system,3
Architectural graphics,3
architecture,3
Building environment control,3
Nail art,3
Construction practice,3
Popular design,3
Beauty makeup,3
Beauty nutrition,3
Art Education,3
Art creation,3
Computer graphics,3
