Var1,Freq
Physical Chemistry,72
analytical chemistry,66
Organic chemistry,61
Partial Differential Equations,53
inorganic chemistry,53
Differential equation,49
Numerical Analysis,49
Organic Synthesis,43
Differential Geometry,39
material chemistry,37
Computing physics,28
analysis,27
Condensed physics,26
statistics,25
Biochemistry,24
Dynamic system,24
Computing chemistry,23
mathematics,23
Organometallic chemistry,22
Functional analysis,22
Scientific Computing,22
Algebraic geometry,21
Mathematics Education,21
Biophysics,20
Algebra,19
Graph Theory,18
Number Theory,18
discrete mathematics,18
Medicinal chemistry,18
physical,17
Mathematics physics,17
Instrumental Analysis,16
applied mathematics,16
Chemistry,15
Semiconductor physics,15
Probability theory,15
Organometallic,14
Nanomaterial,14
calculus,14
Operator theory,14
Solid state physics,13
Theoretical chemistry,13
Geometric analysis,13
Superconducting physics,12
Mathematical statistics,12
Harmonic analysis,12
Probability,12
Homework research,11
Fluid mechanics,11
scientific education,11
Cryptography,11
Electrochemistry,11
organism count,10
Surface chemistry,10
Surface and interface physics,10
Surface physics,10
Financial mathematics,10
High energy physics experiment,10
Theoretical physics,10
Magnetic physics,10
Bioorganic chemistry,9
Biological mathematics,9
Ordinary differential equation,9
Particle physics,9
Quantum information,9
Algorithm,9
Gel physics,9
Ring theory,9
Algebraic number theory,8
Biophysical chemistry,8
Biological information,8
Low temperature physics,8
Nonlinear analysis,8
high polymer chemistry,8
Quantum field theory,8
Numerical partial differential equation,8
Exchange algebra,7
Spectroscopy,7
Multivariate analysis,7
Survival analysis,7
cosmology,7
Solid state chemistry,7
Nanophysics,7
Physics education,7
Nonlinear physics,7
Computing science,7
Matrix calculation,7
Financial engineering,7
regression analysis,7
Combinatorial,7
Statistical Physics and Thermodynamics,7
Field theory,7
Optimization theory,7
Quantum Chemistry,7
experimental design,7
Digital learning,7
Linear algebra,7
Condensed physics theory,7
Application probability,7
Chemical dynamics,6
Material physics,6
Nanotechnology,6
Physical organic chemistry,6
Surface science,6
Nonlinear optics,6
matrix analysis,6
Combinatorial Mathematics,6
Statistical physics,6
General Chemistry,6
stochastic process,6
Natural chemical,5
Bioinorganic chemistry,5
Organic photoelectric material,5
organic material,5
Nanoscience,5
Atomic physics,5
Matrix theory,5
Theoretical solid state physics,5
Statistical inference,5
General chemical experiment,5
Programming,5
Image processing,5
math education,5
Complex system,5
Complex function,5
Mass Spectrometry,5
Probability statistics,5
Environmental Chemistry,5
Industrial statistics,4
molecular biology,4
Astrophysics,4
Natural product synthesis,4
Algebra topology,4
Reliability analysis,4
Biochemical analysis,4
Bioorganic,4
Bioinorganic,4
Photochemistry,4
Photoelectric material,4
Optics,4
Organic photochemistry,4
Organic material chemistry,4
material science,4
Bayesian statistics,4
String theory,4
Interface chemistry,4
Gravity theory,4
sequentially,4
Polymer,4
High energy physics,4
power system,4
Calculations,4
Fu's analysis,4
Superconductivity,4
Quantum optics,4
Database system and data security,4
Information science,4
Laser,4
Electroanalytical chemistry,4
Mathematical economy,4
Mathematical modeling,4
