Var1,Freq
molecular biology,79
Biochemistry,59
Cell Biology,43
Biotechnology,36
microbiology,33
Molecular Biology,28
Immunology,20
virology,18
Genetics,18
Ecology,17
Biological information,16
Plant physiology,15
Tumor biology,15
Proteomics,12
Molecular genetics,13
Genomics,11
Plant Tissue Culture,11
Cancer biology,11
Biodiversity,10
organism count,10
Biomedical Science,10
entomology,10
Developmental Biology,10
Molecular cell biology,9
Molecular evolution,9
Molecular inheritance,9
analytical chemistry,9
Biochemical engineering,9
biology,9
Neuroscience,9
Gene regulation,9
Physiology of plants,9
Biological Technology,8
Message passing,8
Plant pathology,8
Molecular virology,7
Physiology,7
Cellular molecular biology,7
Nutrition,7
Pharmacology,7
Chemistry,6
Natural chemical,6
Ecology,6
Biomedical materials,6
Organic chemistry,6
Embryonic development,6
Genetic Engineering,6
cytology,6
microorganism,6
Evolutionary biology,6
medicine,6
Endocrinology,5
Biomass energy,5
toxicology,5
Food biotechnology,5
Neurobiology,5
Animal physiology,5
Protein engineering,5
Protein chemistry,5
General biology,5
Plant pathology,5
Fermentation,5
Instrumental Analysis,5
Applied microbiology,5
Environmental Chemistry,5
Environmental biotechnology,5
Environmental science,5
Environmental microorganism,5
Translational medicine,5
Drug development,5
Algae,5
Molecular oncology,4
Molecular chemistry,4
life sciences,4
Biophysics,4
Biostatistics,4
Biochip,4
Behavioral ecology,4
Systems biology,4
Food chemistry,4
Food microorganism,4
Marine ecology,4
Mycology,4
Neurophysiology,4
Gene transfer,4
Tissue Engineering,4
Plant molecular biology,4
Plant classification,4
Plant taxonomy,4
Plant ecology,4
Plant stress,4
botany,4
Structural biology,4
evolution,4
Applied microorganism,4
Soil chemistry,3
Soil physics,3
Pediatrics,3
endocrine,3
Molecular poison,3
Molecular epidemiology,3
Molecular medicine,3
chemical engineering,3
Metabiology,3
Biotechnology,3
Bioinformatics,3
Reproductive physiology,3
Geriatric medicine,3
Immunochemistry,3
Antibody engineering,3
Systematic taxonomy,3
Conservation biology,3
Computing biology,3
Food technology,3
Food microbiology,3
Food hygiene and safety,3
Marine life - physiological ecology,3
Animal chemistry,3
Ethnic inheritance,3
Ethnic genetics,3
Cell biology,3
Cytotoxicity,3
Cellular message transmission,3
Cytogenetics,3
Tissue culture,3
Protein biochemistry,3
Plant message transmission,3
Plant message transmission,3
Plant anatomy,3
Invertebrate zoology,3
Fermentation Engineering,3
stem cell,3
Stem cell biology,3
Electrophysiology,3
Enzyme chemistry,3
Enzyme,3
Fern botany,3
Affinity geography,3
Clinical medicine,3
Veterinary Science,3
Pharmacy,3
Human genetics,2
Pediatric urinary system disease,2
Molecular physiology,2
Molecular ecology,2
Molecular toxicology,2
Molecular pathology,2
Molecular neurobiology,2
Molecular cytology,2
Molecular cytogenetics,2
Molecular microbiology,2
Separation technique,2
Taxonomy,2
Chemical carcinology,2
Cardiovascular diseases,2
Cardiovascular medicine,2
Comparative genomics,2
aquaculture,2
Aquaculture,2
Functional gene selection,2
Functional genomics,2
Biochemical separation,2
Biochemical metabolism,2
Biotech food,2
Bio-biochemistry,2
biomaterials,2
Biophysics,2
Biotechnology management,2
Biological education,2
Biological rehabilitation,2
Biochip analysis,2
Biosensor,2
Biological pesticide,2
Biological biochemistry and molecular biology,2
Physiological ecology,2
Ecosystem ecology,2
Ecological model,2
Organic spectroscopy,2
hematology,2
Vascular biology,2
Behavioral ecology,2
System biology,2
System ecology,2
Amphibious reptile,2
Nano biomedical,2
Nanotechnology,2
Physical Chemistry,2
Conservation genetics,2
Healthy food,2
Health food development,2
Health food development and practice,2
Emergency medicine,2
Vaccinology,2
scientific education,2
Embryology,2
food science,2
Mammalian,2
asthma,2
Meteorology,2
Pathology,2
Neural plasticity,2
Neurodegenerative disease,2
Neurodegenerative disease,2
Thoracic medicine,2
fat metabolisim,2
Message transfer,2
Message transmission,2
animal,2
Animal behavior,2
Animal behavior,2
Animal disease pattern,2
Animal gene transfer,2
Animal histology,2
Animal experiment,2
zoology,2
Animal inheritance,2
Animal nutrition,2
Gene therapy,2
Gene toxicology,2
Genome,2
Basic Medicine,2
Panel discussion,2
Cell culture,2
Cytogenetic,2
Bacterial pathogenesis,2
Histology,2
Protein drug,2
Fish pathology,2
Ornithology,2
Plant molecular biology,2
Plant molecular genetics,2
Plant morphology,2
Plant system classification,2
Plant system taxonomy,2
Plant stress physiology,2
Plant stress physiology,2
Plant gene regulation,2
Plant gene transfer,2
Plant inheritance,2
Plant nutrition,2
Inflammatory response,2
Structural organism,2
Structural biological information,2
Mushroom cultivation,2
gardening,2
Horticulture,2
Stem cell science,2
Microbiology and immunology,2
Microbial biotechnology,2
Microbial physiology,2
Microbial ecology,2
Microbial immunity,2
Microbial fermentation technology,2
Microbial application,2
New drug development,2
Cluster ecology,2
anatomy,2
ANALYSE information,2
Agricultural chemistry,2
Electron microscopy,2
Experimental zoology,2
Evolutionary genomics,2
Evolutionary developmental biology,2
Performing chemistry,2
Psychiatry,2
Enzyme technology,2
Quantitative inheritance,2
Mass Spectrometry,2
Learning theory,2
Kinship,2
Genetic engineering,2
Nutritional immunity,2
Environmental organism,2
Environmental toxicology,2
Environmental toxicology,2
Environmental education,2
Environmental microbiology,2
Environmental sanitation,2
Cancer chemoprevention,2
Cancer genomics,2
Cancer pharmacology,2
Clinical immunology,2
Functional training,2
Drug Synthesis,2
Pharmacokinetics,2
Fermentation engineering,2
Orchid Biotechnology,2
CGMP Biopharmaceutical Factory Planning and Operation,1
DNA recombination and repair,1
DNA algorithm,1
Epstein-Barr virus carcinogenic properties,1
EB virus carcinogenesis,1
EXAFS,1
MicroRNAs,1
Mole,1
Plant Physiology &Biochemistry,1
Protein structure,1
Pt nanostructure electrode,1
Sem-Amos,1
TEM,1
tRNA,1
X-ray,1
Nitric oxide,1
General psychiatry,1
Class B and Class C license teaching,1
Secondary reptile,1
Secondary metabolite chemistry,1
