Var1,Freq
Image processing,122
Information security,89
Embedded Systems,82
Software engineering,78
Wireless network,72
Programming,65
Data exploration,65
Artificial intelligence,63
Computer network,59
Algorithm,56
Network security,48
Action calculation,47
Computer vision,47
Database system,46
Machine learning,44
System,43
Information engineering,39
Biological information,38
Graphic recognition,35
Computer structure,34
E-commerce,32
Neural network,32
Multimedia system,31
Computer network,31
Cloud computing,30
database,30
Program language,29
Digital learning,29
Wireless sensing network,28
Cryptography,26
Wireless communication,24
Internet of Things,23
Natural language processing,22
Cloud computing,22
Information hiding,21
Decentralized system,19
Virtual reality,19
Embedded System Design,18
Information management,18
Algorithm and computational theory,18
Digital system design,18
Digital signal processing,18
Signal processing,17
Computer graphics,17
Digital signal processing,17
Multimedia communication,16
Parallel processing,15
Computer graphics,15
Data structure,15
Information retrieval,15
Parallel computing,14
Parallel and decentralized processing,14
Multimedia network,14
Multimedia application,14
Computer vision,14
Data compression,14
Web Design,14
Network management,14
Introduction to Computer,13
Information science,13
Digital image processing,13
Database system and data security,12
Computer drawing,12
Numerical Analysis,12
Artificial intelligence and expert system,11
Human machine interface,11
Engineering Mathematics,11
Mobile communication,11
Knowledge management,11
Smart system,11
Wireless communication network,11
Graph Theory,11
Decentralized calculation,10
Automatic control,10
Fault tolerant calculation,10
Information education,10
electronic circuit,10
Computer animation,10
Biomedical signal processing,9
Computing theory,9
microprocessor,9
Data mining,9
Graphic theory,9
Digital watermark,9
Linear algebra,9
Coding theory,9
discrete mathematics,9
multimedia,8
Multimedia signal processing,8
Mobile network,8
System analysis and design,8
expert system,8
Communication system,8
calculus,8
Algorithm design and analysis,8
Internet,8
Fuzzy theory,8
Learning technology,8
Medical image processing,8
VLSI design,7
multi-media design,7
Object oriented programming,7
Software test,7
Embedded system application,7
Wafer design,7
Smart control,7
Video processing,7
Very large integrated circuit design,7
Microprocessor principle and application,7
Information Engineering - Computer Network,7
Pattern recognition,7
network,7
Web programming,7
Integrated circuit and system,7
Human-Computer Interaction,6
Mobile programming,6
Signal processing,6
Scientific Computing,6
High speed network,6
Project management,6
Linked network,6
Smart computing,6
Program language and compilation system,6
Sensing network,6
ANALYSE information,6
Data storage,6
E-commerce security,6
Electrical Engineering,6
Graphic recognition,6
Internet application,6
Image and video processing,6
Digital communication,6
Medical information,6
E-learning,5
Huge amount of data analysis,5
Multimedia processing,5
Multimedia information system,5
Mobile communication network,5
Instant system,5
System analysis,5
System program,5
Teaching English,5
Computing biology,5
computer system,5
Communication network,5
Pervasive computing,5
Wireless internet,5
Quantum computing,5
Microprocessor application,5
Database management,5
Information system,5
Information capture,5
Electronic circuit design,5
Electronics,5
Computer aided instruction,5
Evolutionary calculation,5
Management information system,5
Network technology,5
Network communication,5
Speech processing,5
Broadband network,5
Image compression,5
Digital system,5
applied mathematics,5
Medical Imaging,5
FPGA practice,4
VLSI,4
Web technology,4
Big data analysis,4
Interface technology,4
Parallel and decentralized calculation,4
Peer calculation,4
Multimedia security,4
multimedia technology,4
Multimedia library,4
Multimedia information retrieval,4
System efficiency assessment,4
System chip design,4
System integration,4
Object Oriented Analysis and Design,4
Object oriented software engineering,4
physical,4
Computer organization,4
Computer algorithm,4
Computer Aided Design,4
Audio processing,4
Cryptography,4
Soft computing,4
Information,4
Information technology,4
Graphic recognition,4
Web technology,4
Network engineering,4
Network multimedia,4
Network protocol,4
Internet technology,4
Speech signal processing,4
Speech recognition,4
Digital collection,4
Digital circuit design,4
mathematics,4
Augmented reality,4
RFID,3
XML technology,3
Human-machine interface design,3
Text exploration,3
Huge amount of data,3
Massive data exploration,3
Biological computing,3
Biometric identification,3
Business management,3
Peer network,3
Multimedia search,3
Self-stability algorithm,3
Mobile device programming,3
Mobile information system,3
